ID,use.,dispersule,seeds.per.disp,morphological.unit,chemical.unit,Species,species.alt,code,accept.code,family,group,nat.inv,year,germ.perc,dorm.perc,seed.mass.1000,tot.wgt.g,n.seeds,lat,long,ele.m,Location.Notes,orig.acc,site,type,mega.comp,microbe.rob,notes,AI
CP-10,both,,1,seed,seed,Tropidocarpum gracile,,TROGRA,TRGR5,Asteraceae,forb,native,2019,NA,NA,NA,0.1077,NA,35.06478603,-119.6931501,NA,,,CP,wild,,,,0.2142
CBG-21039,,,,,,Uropappus lindleyi,Microseris lindleyi,UROLIN,MILI5,Asteraceae,forb,native,2003,0,NA,NA,1.199979075,600,34.43333,-117.58666,1250,,21039,CBG,wild,,,,0.1846
CP-22,both,y,1,achene + pappus,achene,Uropappus lindleyi,Microseris lindleyi,UROLIN,MILI5,Asteraceae,forb,native,2020,NA,NA,NA,0.4048,NA,35.07611266,-119.6701172,NA,,,CP,wild,,,,0.1901
MCL-EE-73,,,,,,Uropappus lindleyi,,UROLIN,MILI5,Asteraceae,forb,native,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,MCL-EE,wild,,,,NA
MCL-ML-25,both,y,1,achene + pappus,achene,Uropappus lindleyi,Microseris lindleyi,UROLIN,MILI5,Asteraceae,forb,native,2015,NA,NA,NA,0.5,NA,38.86537177,-122.4029395,663,location approximate,,MCL-ML,wild,,,,0.5527
MCL-EE-56,,,,,,Velezia rigida,,VELRIG,VERI,Caryophyllaceae,forb,invasive,2017,NA,NA,NA,NA,NA,NA,NA,NA,,,MCL-EE,wild,,,only one maternal family,NA
MCL-EE-57,,,,,,Vicia villosa,,VICVIL,VIVI,Fabaceae,forb,invasive,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,MCL-EE,wild,,,have another acc,NA
MCL-ML-31,both,,1,seed,seed,Vicia villosa,,VICVIL,VIVI,Fabaceae,forb,invasive,2021,NA,NA,NA,6.92,NA,38.87214352,-122.4276984,657,,,MCL-ML,wild,x,,,0.5647
DW-23,both,y,1,achene + pappus,achene,Volutaria tubuliflora,,VOLTUB,,Asteraceae,forb,invasive,2015,NA,NA,NA,0.16,140,33.260428,-116.348116,165,,,DW,wild,,,,0.0572
GRIN-W6-30964,morph,,1,achene + pappus,achene,Xanthisma gracile,Machaeranthera gracilis,XANGRA,MAGR10,Asteraceae,forb,native,2005,42,NA,NA,0.1356,200,33.41417,-112.37333,2133,,W6 30964,GRIN,wild,,,,0.0644
GRIN-W6-43852,chem,,1,achene,achene,Xanthisma gracile,Machaeranthera gracilis,XANGRA,MAGR10,Asteraceae,forb,native,2012,77,NA,NA,0.125,200,34.5407,-111.82628,951,,W6 43852,GRIN,wild,,,collected before 2012,0.1599
MCL-EE-58,,,,,,Zeltnera trichantha,Centaurium trichanthum,ZELTRI,CETR2,Gentianaceae,forb,native,2019,NA,NA,NA,NA,NA,38.87046,-122.42802,NA,,,MCL-EE,wild,,,have another acc,0.5647
MCL-ML-13,both,,1,seed,seed,Zeltnera trichantha,Centaurium trichanthum,ZELTRI,CETR2,Gentianaceae,forb,native,2016,NA,NA,NA,0.1767,NA,38.86973285,-122.4279027,672,location approximate,,MCL-ML,wild,,x,,0.5647
