"Species","new.code","family","group","nat.inv","appendage.type","appendage","disp.cat.all","disp.cat.nat","site","morph.mass.mg","chem.mass.mg","set.time.mpsec","prop.C","prop.N","height.cm","shape","size.mm","coat.perm.perc","E.S","coat.thick","fruit.thick","both.thick","coat.thick.per.width","wing.loading","ldd.all","ldd.natural","mucilage","fleshy.end","starchy.end","smooth.coarse","AI","oil.prop.kew","prot.prop.kew","carb.prop.kew"
"Castilleja attenuata","CASATT","Orobanchaceae","forb","native","no appendage","none","wind","wind","MCL",1.036,1.036,141.24007102,0.58631037212985,0.0429493269992082,17.1,0.027432836,1.14774736,25.982927057989,0.924321322041963,0.0154,0,0.0154,0.0206854461056216,0.418029863666097,5,5,0,1,0,1,0.5647,NA,NA,NA
"Castilleja exserta","CASEXS","Orobanchaceae","forb","native","balloon structure","balloon","wind","wind","CBG",1.194,1.194,110.4108705,0.497884127294026,0.0270257115276151,14.6769230766667,0.014810386,1.4934011,46.6501361090527,0.962876560502048,0.0116,0,0.0116,0.0104705971055677,0.257239282170551,5,5,0,1,0,1,0.2047,NA,NA,NA
"Caulanthus anceps","CAUANC","Brassicaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",1.519,1.519,184.40637358,0.532682634730539,0.0514071856287425,92.5,0.034245535,1.07241262,79.7727463736957,1,0.0282,0,0.0282,0.0432897641813123,0.740057187955739,2,2,1,NA,NA,0,0.1893,NA,NA,NA
"Caulanthus heterophyllus","CAUHET","Brassicaceae","forb","native","no appendage","none","unassisted","unassisted","CBG",3.4649,3.4649,194.82387222,0.581047087980173,0.033045229244114,72.5,0.048293326,1.68395375,98.1850390628952,1,0.0136,0,0.0136,0.0174373188009351,0.707515524390214,2,2,1,NA,NA,0,0.2955,NA,NA,NA
"Caulanthus lasiophyllus","CAULAS","Brassicaceae","forb","native","no appendage","none","unassisted","unassisted","CP",2.256,2.256,174.35226876,0.53607391699485,0.0478521660102999,60,0.040406623,1.17433606,80.8227665664281,1,0.0328,0,0.0328,0.0486949255196268,0.889442670333988,2,2,1,NA,NA,0,0.1976,NA,NA,NA
"Centaurea melitensis","CENMEL","Asteraceae","forb","invasive","elongated appendage","pappus","animal","animal","MCL",14.81,13.9167,195.8421299,0.538514588859416,0.0310132625994695,57.7619047666667,0.07425439,2.8671528,37.4500695891558,1,0.0348,0.0242,0.059,0.0487688832702727,0.525018339837132,6,6,0,1,NA,0,0.5603,NA,NA,NA
"Centaurea solstitialis","CENSOL","Asteraceae","forb","invasive","elongated appendage","pappus","human","adhesive","MCL",16.34,16.1888,220.84317698,0.479679370185762,0.0173267763091495,73.375,0.0801827785,2.8793392,40.3510409129778,1,0,0.0396,0.0396,0.0392423442364052,1.15339681921534,7,6,0,1,0,0,0.5647,NA,NA,NA
"Chaenactis artemisiifolia","CHAART","Asteraceae","forb","native","no appendage","none","wind","wind","CBG/SS",5.6113,5.6113,163.71931232,0.551032591158438,0.0291932881574701,57.5,0.132337331,4.6973444,78.3180679775854,1,0,0.0208,0.0208,0.0193955206940135,0.438924074465703,5,5,0,NA,NA,1,0.2261,NA,NA,NA
"Chaenactis carphoclinia","CHACAR","Asteraceae","forb","native","elongated appendage","pappus","wind","wind","CBG",2.918,2.918,127.13520242,0.48419835234474,0.0343187579214195,60.96,0.14557389,4.1611383,89.1641521514009,1,0,0.0282,0.0282,0.0355508118614099,0.416034511873465,5,5,0,NA,NA,1,0.0486,NA,NA,NA
"Chaenactis fremontii","CHAFRE","Asteraceae","forb","native","elongated appendage","pappus","wind","wind","DW/GRIN",6.9741,4.16115,147.1473908,0.515071366152054,0.0334867462860472,20,0.180275123,5.8007772,70.9634315069268,1,0,0.045,0.045,0.0781128735188367,0.78451960505955,5,5,0,NA,NA,1,0.06355,NA,NA,NA
